* Sea-Bird SBE 9 Data File:																
* FileName = D:\CTDData\SO279\SO279_81-1_CTD-06.hex																
* Software Version Seasave V 7.26.1.8																
* Temperature SN = 5938																
* Conductivity SN = 4108																
* Number of Bytes Per Scan = 41																
* Number of Voltage Words = 4																
* Number of Scans Averaged by the Deck Unit = 1																
* System UpLoad Time = Dec 21 2020 14:08:42																
* NMEA Latitude = 33 08.61 N																
* NMEA Longitude = 033 46.68 W																
* NMEA UTC (Time) = Dec 21 2020  14:08:40																
* Store Lat/Lon Data = Append to Every Scan																
* SBE 11plus V 5.2																
* number of scans to average = 1																
* pressure baud rate = 9600																
* NMEA baud rate = 4800																
* GPIB address = 1																
* advance primary conductivity  0.073 seconds																
* advance secondary conductivity  0.073 seconds																
* autorun on power up is disabled																
* S>																
* System UTC = Dec 21 2020 14:08:42																
# nquan = 16																
# nvalues = 725                         																
# units = specified																
# name 0 = depSM	" Depth [salt water, m]"															
# name 1 = sal00	" Salinity, Practical [PSU]"															
# name 2 = sal11	" Salinity, Practical, 2 [PSU]"															
# name 3 = t090C	" Temperature [ITS-90, deg C]"															
# name 4 = t190C	" Temperature, 2 [ITS-90, deg C]"															
# name 5 = sbeox0Mm/L	" Oxygen, SBE 43 [umol/l]"															
# name 6 = sbeox1Mm/L	" Oxygen, SBE 43, 2 [umol/l]"															
# name 7 = flECO-AFL	" Fluorescence, WET Labs ECO-AFL/FL [mg/m^3]"															
# name 8 = par	" PAR/Irradiance, Biospherical/Licor"															
# name 9 = turbWETntu0	" Turbidity, WET Labs ECO [NTU]"															
# name 10 = timeQ	" Time, NMEA [seconds]"															
# name 11 = timeM	" Time, Elapsed [minutes]"															
# name 12 = nbf	 Bottles Fired															
# name 13 = prDM	" Pressure, Digiquartz [db]"															
# name 14 = timeS	" Time, Elapsed [seconds]"															
# name 15 = flag	 flag															
"# start_time = Dec 21 2020 14:08:40 [NMEA time, first data scan]"																
	" Depth [salt water, m]"	" Salinity, Practical [PSU]"	" Salinity, Practical, 2 [PSU]"	" Temperature [ITS-90, deg C]"	" Temperature, 2 [ITS-90, deg C]"	" Oxygen, SBE 43 [umol/l]"	" Oxygen, SBE 43, 2 [umol/l]"	" Fluorescence, WET Labs ECO-AFL/FL [mg/m^3]"	" PAR/Irradiance, Biospherical/Licor"	" Turbidity, WET Labs ECO [NTU]"	" Time, NMEA [seconds]"	" Time, Elapsed [minutes]"	 Bottles Fired	" Pressure, Digiquartz [db]"	" Time, Elapsed [seconds]"	 flag
	10	36.984	36.1191	21.8033	21.783	148.205	117.147	0.0166	1.00E-12	0.135	661874869	-0.8511	0	10.071	-51.069	0.00E+00
	15	37.0249	37.1143	21.8086	21.8123	197.974	206.599	0.003	1.00E-12	0.1353	661875049	2.1566	0	15.107	129.393	0.00E+00
	20	37.0221	36.9998	21.8089	21.8092	198.67	205.536	0.0157	1.00E-12	0.1332	661875057	2.2909	0	20.143	137.455	0.00E+00
	25	37.0224	36.9985	21.8125	21.813	198.25	203.993	0.0148	1.00E-12	0.133	661875068	2.4658	0	25.179	147.947	0.00E+00
	30	37.0223	36.9987	21.8139	21.8144	198.161	203.859	0.0231	1.00E-12	0.135	661875078	2.6401	0	30.216	158.406	0.00E+00
	35	37.0221	36.9988	21.815	21.8154	198.226	204.174	0.0292	1.00E-12	0.1373	661875089	2.8169	0	35.252	169.013	0.00E+00
	40	37.0214	36.9984	21.8141	21.8148	198.625	203.941	0.0356	1.00E-12	0.1334	661875100	3.0054	0	40.288	180.326	0.00E+00
	45	37.0208	36.9979	21.8125	21.8127	198.686	203.906	0.0407	1.00E-12	0.1337	661875111	3.1829	0	45.325	190.975	0.00E+00
	50	37.0209	36.9983	21.8145	21.8148	198.572	203.841	0.0363	1.00E-12	0.1348	661875122	3.3651	0	50.362	201.908	0.00E+00
	55	37.0204	36.998	21.8166	21.8169	198.726	203.596	0.0509	1.00E-12	0.1338	661875132	3.5367	0	55.399	212.201	0.00E+00
	60	37.0201	36.998	21.8175	21.8177	198.475	203.556	0.0432	1.00E-12	0.1337	661875143	3.7168	0	60.436	223.008	0.00E+00
	65	37.0194	36.9976	21.8144	21.8149	198.49	203.365	0.0494	1.00E-12	0.1334	661875154	3.8982	0	65.473	233.89	0.00E+00
	70	37.0177	36.9962	21.8078	21.808	198.437	203.595	0.0493	1.00E-12	0.1328	661875165	4.0792	0	70.51	244.754	0.00E+00
	75	37.0077	36.9861	21.7642	21.7627	198.126	203.305	0.0855	1.00E-12	0.1336	661875175	4.2574	0	75.547	255.445	0.00E+00
	80	36.999	36.9779	21.7264	21.727	197.621	202.475	0.1023	1.00E-12	0.1339	661875188	4.4582	0	80.585	267.492	0.00E+00
	85	37.0011	36.9805	21.715	21.715	197.175	202.235	0.0968	1.00E-12	0.1315	661875198	4.6288	0	85.622	277.729	0.00E+00
	90	36.987	36.9663	21.6093	21.608	196.844	201.416	0.1041	1.00E-12	0.134	661875209	4.8093	0	90.66	288.558	0.00E+00
	95	36.9086	36.8864	21.1449	21.1311	194.756	199.452	0.0994	1.00E-12	0.1303	661875220	4.9956	0	95.698	299.735	0.00E+00
	100	36.8094	36.7895	20.5318	20.5297	191.978	196.942	0.1163	1.00E-12	0.129	661875231	5.1778	0	100.736	310.67	0.00E+00
	105	36.7518	36.7309	20.1164	20.1085	188.763	193.115	0.0899	1.00E-12	0.1289	661875241	5.3416	0	105.774	320.494	0.00E+00
	110	36.7181	36.6994	19.9082	19.907	187.722	192.51	0.0903	1.00E-12	0.1291	661875247	5.4494	0	110.812	326.963	0.00E+00
	115	36.6843	36.6667	19.6428	19.6427	187.123	191.633	0.0808	1.00E-12	0.1284	661875254	5.5593	0	115.85	333.558	0.00E+00
	120	36.665	36.6481	19.4776	19.4775	186.881	191.634	0.0559	1.00E-12	0.1289	661875261	5.6847	0	120.889	341.083	0.00E+00
	125	36.6596	36.6438	19.3788	19.3794	186.488	191.005	0.0281	1.00E-12	0.1257	661875268	5.7993	0	125.927	347.958	0.00E+00
	130	36.6624	36.6474	19.3292	19.33	185.601	190.363	0.0141	1.00E-12	0.1255	661875275	5.9111	0	130.966	354.665	0.00E+00
	135	36.6788	36.6646	19.3295	19.3307	184.223	188.762	-0.0182	1.00E-12	0.1246	661875282	6.0309	0	136.005	361.852	0.00E+00
	140	36.6781	36.6644	19.3014	19.3027	183.4	187.755	-0.0203	1.00E-12	0.1202	661875289	6.1445	0	141.044	368.667	0.00E+00
	145	36.6705	36.6569	19.2233	19.2228	183.341	187.587	-0.0413	1.00E-12	0.1211	661875296	6.2575	0	146.083	375.449	0.00E+00
	150	36.6615	36.6482	19.154	19.1544	183.245	187.682	-0.0449	1.00E-12	0.1221	661875303	6.3743	0	151.122	382.46	0.00E+00
	155	36.6541	36.6408	19.029	19.0295	182.975	187.271	-0.0566	1.00E-12	0.1219	661875309	6.4837	0	156.162	389.019	0.00E+00
	160	36.6476	36.6345	18.9802	18.981	182.751	187.365	-0.0671	1.00E-12	0.1203	661875318	6.6256	0	161.201	397.535	0.00E+00
	165	36.6384	36.6254	18.9096	18.9119	183.26	187.772	-0.0719	1.00E-12	0.1194	661875322	6.7005	0	166.24	402.028	0.00E+00
	170	36.629	36.6161	18.8446	18.845	183.793	188.471	-0.0809	1.00E-12	0.1193	661875332	6.8586	0	171.28	411.515	0.00E+00
	175	36.6219	36.6093	18.7784	18.779	183.711	188.359	-0.0862	1.00E-12	0.1207	661875337	6.9492	0	176.32	416.951	0.00E+00
	180	36.6173	36.6046	18.7468	18.7478	184.042	188.264	-0.0842	1.00E-12	0.1193	661875345	7.075	0	181.36	424.5	0.00E+00
	185	36.6101	36.5975	18.6954	18.6968	184.434	188.855	-0.086	1.00E-12	0.1192	661875351	7.1872	0	186.4	431.229	0.00E+00
	190	36.6059	36.5932	18.6694	18.6702	184.93	189.577	-0.0956	1.00E-12	0.1173	661875358	7.3025	0	191.44	438.148	0.00E+00
	195	36.6027	36.5902	18.6298	18.6307	183.994	188.604	-0.0964	1.00E-12	0.1183	661875366	7.4262	0	196.48	445.571	0.00E+00
	200	36.5988	36.5862	18.5975	18.5987	183.795	188.39	-0.099	1.00E-12	0.118	661875373	7.5419	0	201.521	452.516	0.00E+00
	205	36.5958	36.5832	18.577	18.5779	183.732	188.136	-0.0922	1.00E-12	0.1199	661875379	7.6571	0	206.561	459.426	0.00E+00
	210	36.589	36.5765	18.5234	18.5242	184.214	188.476	-0.1027	1.00E-12	0.1186	661875386	7.767	0	211.602	466.019	0.00E+00
	215	36.5847	36.5722	18.4831	18.4843	185.641	190.267	-0.1087	1.00E-12	0.1169	661875393	7.8898	0	216.643	473.389	0.00E+00
	220	36.5807	36.5681	18.4536	18.4544	184.297	188.517	-0.1093	1.00E-12	0.1185	661875401	8.0084	0	221.684	480.506	0.00E+00
	225	36.5738	36.5617	18.4076	18.4084	183.161	187.645	-0.106	1.00E-12	0.1168	661875407	8.1108	0	226.725	486.651	0.00E+00
	230	36.5657	36.5524	18.3647	18.3627	183.706	188.412	-0.1143	1.00E-12	0.1206	661875415	8.2456	0	231.766	494.733	0.00E+00
	235	36.5626	36.5502	18.333	18.3336	183.794	188.223	-0.1145	1.00E-12	0.1174	661875419	8.3246	0	236.807	499.477	0.00E+00
	240	36.549	36.5364	18.2391	18.2403	182.717	187.05	-0.1154	1.00E-12	0.1164	661875429	8.4842	0	241.849	509.053	0.00E+00
	245	36.5429	36.5304	18.1982	18.1994	183.003	187.598	-0.1137	1.00E-12	0.1181	661875433	8.5564	0	246.89	513.383	0.00E+00
	250	36.5374	36.5248	18.1625	18.1633	182.592	187.143	-0.1127	1.00E-12	0.117	661875442	8.7004	0	251.932	522.026	0.00E+00
	255	36.5269	36.5143	18.1002	18.1013	182.461	186.965	-0.1174	1.00E-12	0.1158	661875449	8.8079	0	256.974	528.473	0.00E+00
	260	36.5192	36.5068	18.0559	18.0572	181.888	186.602	-0.1016	1.00E-12	0.1195	661875456	8.9396	0	262.015	536.378	0.00E+00
	265	36.5125	36.4997	18.0188	18.0169	181.749	186.302	-0.1225	1.00E-12	0.1131	661875462	9.0353	0	267.057	542.117	0.00E+00
	270	36.5012	36.4887	17.9522	17.9535	181.737	185.896	-0.1254	1.00E-12	0.1165	661875469	9.1559	0	272.1	549.351	0.00E+00
	275	36.494	36.4813	17.9173	17.9174	182.243	186.241	-0.1067	1.00E-12	0.1193	661875476	9.2668	0	277.142	556.007	0.00E+00
	280	36.4826	36.4697	17.858	17.8575	181.834	186.278	-0.1126	1.00E-12	0.1194	661875483	9.3882	0	282.184	563.291	0.00E+00
	285	36.4638	36.4514	17.7498	17.751	181.556	185.999	-0.1103	1.00E-12	0.1149	661875491	9.5092	0	287.227	570.549	0.00E+00
	290	36.45	36.4371	17.6726	17.6721	181.118	185.456	-0.1053	1.00E-12	0.1167	661875497	9.6241	0	292.269	577.447	0.00E+00
	295	36.4436	36.4311	17.6374	17.6379	180.816	185.255	-0.0998	1.00E-12	0.1183	661875504	9.7357	0	297.312	584.144	0.00E+00
	300	36.4296	36.4171	17.5525	17.5539	180.076	184.42	-0.1009	1.00E-12	0.1195	661875512	9.8597	0	302.355	591.579	0.00E+00
	305	36.4164	36.4041	17.4781	17.4787	180.007	184.225	-0.0967	1.00E-12	0.1175	661875518	9.974	0	307.398	598.442	0.00E+00
	310	36.3856	36.3719	17.2939	17.2873	179.503	183.402	-0.0936	1.00E-12	0.1191	661875526	10.0979	0	312.441	605.877	0.00E+00
	315	36.3677	36.3552	17.1876	17.1886	178.939	183.483	-0.0946	1.00E-12	0.119	661875532	10.2052	0	317.484	612.315	0.00E+00
	320	36.3564	36.3439	17.1284	17.1296	179.129	183.096	-0.094	1.00E-12	0.1194	661875540	10.3292	0	322.528	619.754	0.00E+00
	325	36.3462	36.334	17.0706	17.072	179.338	183.541	-0.0834	1.00E-12	0.1187	661875547	10.4413	0	327.571	626.479	0.00E+00
	330	36.3395	36.3272	17.0345	17.0359	179.403	183.583	-0.075	1.00E-12	0.1214	661875554	10.5627	0	332.615	633.76	0.00E+00
	335	36.3276	36.3153	16.9598	16.9606	179.588	183.648	-0.065	1.00E-12	0.1213	661875561	10.6862	0	337.658	641.172	0.00E+00
	340	36.3147	36.3025	16.8803	16.8812	179.734	183.827	-0.0671	1.00E-12	0.1212	661875567	10.7907	0	342.702	647.442	0.00E+00
	345	36.3041	36.2919	16.8162	16.8175	179.791	184.062	-0.0543	1.00E-12	0.1228	661875575	10.9239	0	347.746	655.432	0.00E+00
	350	36.2962	36.284	16.7685	16.7695	180.036	184	-0.0559	1.00E-12	0.1223	661875582	11.0387	0	352.79	662.321	0.00E+00
	355	36.2873	36.2754	16.7131	16.7146	180.23	184.409	-0.0539	1.00E-12	0.122	661875589	11.1447	0	357.835	668.681	0.00E+00
	360	36.2788	36.2666	16.6636	16.6647	180.698	185.011	-0.0542	1.00E-12	0.1221	661875597	11.2831	0	362.879	676.988	0.00E+00
	365	36.2691	36.2573	16.6019	16.6029	181.032	185.149	-0.0456	1.00E-12	0.1223	661875603	11.375	0	367.923	682.503	0.00E+00
	370	36.255	36.2429	16.5162	16.5174	182.232	185.886	-0.0499	1.00E-12	0.1216	661875611	11.5215	0	372.968	691.287	0.00E+00
	375	36.2451	36.2332	16.4498	16.4513	182.207	185.979	-0.0461	1.00E-12	0.124	661875617	11.6162	0	378.013	696.973	0.00E+00
