X	Temp(°C)	X	Depth(m)
18.12.2020 22:30:00	21,77	18.12.2020 22:30:00	18,82
18.12.2020 22:32:00	21,68	18.12.2020 22:32:00	25,46
18.12.2020 22:34:00	21,66	18.12.2020 22:34:00	27,12
18.12.2020 22:36:00	21,66	18.12.2020 22:36:00	24,62
18.12.2020 22:38:00	21,66	18.12.2020 22:38:00	23,79
18.12.2020 22:40:00	21,66	18.12.2020 22:40:00	24,62
18.12.2020 22:42:00	21,68	18.12.2020 22:42:00	23,8
18.12.2020 22:44:00	21,68	18.12.2020 22:44:00	24,63
18.12.2020 22:46:00	21,68	18.12.2020 22:46:00	27,13
18.12.2020 22:48:00	21,68	18.12.2020 22:48:00	25,46
18.12.2020 22:50:00	21,66	18.12.2020 22:50:00	25,45
18.12.2020 22:52:00	21,68	18.12.2020 22:52:00	25,46
18.12.2020 22:54:00	21,66	18.12.2020 22:54:00	26,29
18.12.2020 22:56:00	21,66	18.12.2020 22:56:00	23,79
18.12.2020 22:58:00	21,66	18.12.2020 22:58:00	22,12
18.12.2020 23:00:00	21,66	18.12.2020 23:00:00	22,96
18.12.2020 23:02:00	21,66	18.12.2020 23:02:00	23,79
18.12.2020 23:04:00	21,6	18.12.2020 23:04:00	17,11
18.12.2020 23:06:00	21,42	18.12.2020 23:06:00	17,07
18.12.2020 23:08:00	21,16	18.12.2020 23:08:00	17
18.12.2020 23:10:00	20,95	18.12.2020 23:10:00	16,95
18.12.2020 23:12:00	21,54	18.12.2020 23:12:00	20,43
18.12.2020 23:14:00	21,63	18.12.2020 23:14:00	38,76
18.12.2020 23:16:00	21,6	18.12.2020 23:16:00	60,38
18.12.2020 23:18:00	21,57	18.12.2020 23:18:00	74,51
18.12.2020 23:20:00	21,57	18.12.2020 23:20:00	89,48
18.12.2020 23:22:00	21,6	18.12.2020 23:22:00	116,08
18.12.2020 23:24:00	20,12	18.12.2020 23:24:00	140,66
18.12.2020 23:26:00	19,41	18.12.2020 23:26:00	157,14
18.12.2020 23:28:00	19,5	18.12.2020 23:28:00	151,34
18.12.2020 23:30:00	19,56	18.12.2020 23:30:00	148,03
18.12.2020 23:32:00	19,62	18.12.2020 23:32:00	146,38
18.12.2020 23:34:00	19,68	18.12.2020 23:34:00	144,73
18.12.2020 23:36:00	19,62	18.12.2020 23:36:00	148,04
18.12.2020 23:38:00	19,62	18.12.2020 23:38:00	145,55
18.12.2020 23:40:00	19,98	18.12.2020 23:40:00	142,3
18.12.2020 23:42:00	19,77	18.12.2020 23:42:00	143,92
18.12.2020 23:44:00	19,47	18.12.2020 23:44:00	150,51
18.12.2020 23:46:00	19,41	18.12.2020 23:46:00	151,33
18.12.2020 23:48:00	19,44	18.12.2020 23:48:00	145,52
18.12.2020 23:50:00	19,38	18.12.2020 23:50:00	145,51
18.12.2020 23:52:00	19,35	18.12.2020 23:52:00	144,67
18.12.2020 23:54:00	19,5	18.12.2020 23:54:00	142,21
18.12.2020 23:56:00	19,56	18.12.2020 23:56:00	141,39
18.12.2020 23:58:00	19,71	18.12.2020 23:58:00	138,92
19.12.2020	19,92	19.12.2020	139,79
19.12.2020 00:02:00	19,89	19.12.2020 00:02:00	143,94
19.12.2020 00:04:00	19,92	19.12.2020 00:04:00	140,62
19.12.2020 00:06:00	21,54	19.12.2020 00:06:00	123,54
19.12.2020 00:08:00	21,6	19.12.2020 00:08:00	96,97
19.12.2020 00:10:00	21,6	19.12.2020 00:10:00	65,37
