X	Temp(°C)	X	Depth(m)
20.12.2020 17:20:00	23,25	20.12.2020 17:20:00	17,7
20.12.2020 17:21:00	0	20.12.2020 17:21:00	17,7
20.12.2020 17:22:00	0	20.12.2020 17:22:00	17,7
20.12.2020 17:23:00	0	20.12.2020 17:23:00	17,7
20.12.2020 17:24:00	0	20.12.2020 17:24:00	17,7
20.12.2020 17:25:00	0	20.12.2020 17:25:00	17,7
20.12.2020 17:26:00	0	20.12.2020 17:26:00	17,7
20.12.2020 17:27:00	0	20.12.2020 17:27:00	18,52
20.12.2020 17:28:00	0	20.12.2020 17:28:00	19,35
20.12.2020 17:29:00	0	20.12.2020 17:29:00	18,52
20.12.2020 17:30:00	0	20.12.2020 17:30:00	18,52
20.12.2020 17:31:00	0	20.12.2020 17:31:00	18,52
20.12.2020 17:32:00	0	20.12.2020 17:32:00	19,35
20.12.2020 17:33:00	0	20.12.2020 17:33:00	18,52
20.12.2020 17:34:00	0	20.12.2020 17:34:00	19,35
20.12.2020 17:35:00	0	20.12.2020 17:35:00	18,52
20.12.2020 17:36:00	0	20.12.2020 17:36:00	19,35
20.12.2020 17:37:00	0	20.12.2020 17:37:00	19,35
20.12.2020 17:38:00	0	20.12.2020 17:38:00	18,52
20.12.2020 17:39:00	0	20.12.2020 17:39:00	18,52
20.12.2020 17:40:00	0	20.12.2020 17:40:00	19,35
20.12.2020 17:41:00	0	20.12.2020 17:41:00	19,35
20.12.2020 17:42:00	0	20.12.2020 17:42:00	19,35
20.12.2020 17:43:00	0	20.12.2020 17:43:00	20,17
20.12.2020 17:44:00	0	20.12.2020 17:44:00	19,35
20.12.2020 17:45:00	0	20.12.2020 17:45:00	20,17
20.12.2020 17:46:00	0	20.12.2020 17:46:00	19,35
20.12.2020 17:47:00	0	20.12.2020 17:47:00	19,35
20.12.2020 17:48:00	0	20.12.2020 17:48:00	20,17
20.12.2020 17:49:00	0	20.12.2020 17:49:00	20,17
20.12.2020 17:50:00	0	20.12.2020 17:50:00	20,17
20.12.2020 17:51:00	0	20.12.2020 17:51:00	20,17
20.12.2020 17:52:00	0	20.12.2020 17:52:00	19,35
20.12.2020 17:53:00	0	20.12.2020 17:53:00	20,17
20.12.2020 17:54:00	0	20.12.2020 17:54:00	20,17
20.12.2020 17:55:00	0	20.12.2020 17:55:00	20,17
20.12.2020 17:56:00	0	20.12.2020 17:56:00	19,35
20.12.2020 17:57:00	0	20.12.2020 17:57:00	20,17
20.12.2020 17:58:00	0	20.12.2020 17:58:00	18,52
20.12.2020 17:59:00	0	20.12.2020 17:59:00	23,46
20.12.2020 18:00:00	0	20.12.2020 18:00:00	31,7
20.12.2020 18:01:00	0	20.12.2020 18:01:00	38,29
20.12.2020 18:02:00	0	20.12.2020 18:02:00	35,82
20.12.2020 18:03:00	0	20.12.2020 18:03:00	33,35
20.12.2020 18:04:00	0	20.12.2020 18:04:00	36,64
20.12.2020 18:05:00	0	20.12.2020 18:05:00	36,64
20.12.2020 18:06:00	0	20.12.2020 18:06:00	36,64
20.12.2020 18:07:00	0	20.12.2020 18:07:00	40,76
20.12.2020 18:08:00	0	20.12.2020 18:08:00	34,99
20.12.2020 18:09:00	0	20.12.2020 18:09:00	33,35
20.12.2020 18:10:00	0	20.12.2020 18:10:00	30,88
20.12.2020 18:11:00	0	20.12.2020 18:11:00	31,7
20.12.2020 18:12:00	0	20.12.2020 18:12:00	32,52
20.12.2020 18:13:00	0	20.12.2020 18:13:00	32,52
20.12.2020 18:14:00	0	20.12.2020 18:14:00	35,82
20.12.2020 18:15:00	0	20.12.2020 18:15:00	42,4
20.12.2020 18:16:00	0	20.12.2020 18:16:00	48,99
20.12.2020 18:17:00	0	20.12.2020 18:17:00	57,22
20.12.2020 18:18:00	0	20.12.2020 18:18:00	63,81
20.12.2020 18:19:00	0	20.12.2020 18:19:00	69,57
20.12.2020 18:20:00	0	20.12.2020 18:20:00	72,87
20.12.2020 18:21:00	0	20.12.2020 18:21:00	66,28
20.12.2020 18:22:00	0	20.12.2020 18:22:00	56,4
20.12.2020 18:23:00	0	20.12.2020 18:23:00	64,63
20.12.2020 18:24:00	0	20.12.2020 18:24:00	77,81
20.12.2020 18:25:00	0	20.12.2020 18:25:00	92,63
20.12.2020 18:26:00	0	20.12.2020 18:26:00	109,09
20.12.2020 18:27:00	0	20.12.2020 18:27:00	123,09
20.12.2020 18:28:00	0	20.12.2020 18:28:00	134,61
20.12.2020 18:29:00	0	20.12.2020 18:29:00	147,78
20.12.2020 18:30:00	0	20.12.2020 18:30:00	156,02
20.12.2020 18:31:00	0	20.12.2020 18:31:00	161,78
20.12.2020 18:32:00	0	20.12.2020 18:32:00	170,01
20.12.2020 18:33:00	0	20.12.2020 18:33:00	180,71
20.12.2020 18:34:00	0	20.12.2020 18:34:00	188,12
20.12.2020 18:35:00	0	20.12.2020 18:35:00	195,53
20.12.2020 18:36:00	0	20.12.2020 18:36:00	202,94
20.12.2020 18:37:00	0	20.12.2020 18:37:00	212,81
20.12.2020 18:38:00	0	20.12.2020 18:38:00	219,4
20.12.2020 18:39:00	0	20.12.2020 18:39:00	220,22
20.12.2020 18:40:00	0	20.12.2020 18:40:00	219,4
20.12.2020 18:41:00	0	20.12.2020 18:41:00	224,34
20.12.2020 18:42:00	0	20.12.2020 18:42:00	231,75
20.12.2020 18:43:00	0	20.12.2020 18:43:00	237,51
20.12.2020 18:44:00	0	20.12.2020 18:44:00	243,27
20.12.2020 18:45:00	0	20.12.2020 18:45:00	248,21
20.12.2020 18:46:00	0	20.12.2020 18:46:00	255,62
20.12.2020 18:47:00	0	20.12.2020 18:47:00	267,14
20.12.2020 18:48:00	0	20.12.2020 18:48:00	280,31
20.12.2020 18:49:00	0	20.12.2020 18:49:00	289,36
20.12.2020 18:50:00	0	20.12.2020 18:50:00	293,47
20.12.2020 18:51:00	0	20.12.2020 18:51:00	293,47
20.12.2020 18:52:00	0	20.12.2020 18:52:00	293,47
20.12.2020 18:53:00	0	20.12.2020 18:53:00	295,94
20.12.2020 18:54:00	0	20.12.2020 18:54:00	300,06
20.12.2020 18:55:00	0	20.12.2020 18:55:00	305,82
20.12.2020 18:56:00	0	20.12.2020 18:56:00	315,69
20.12.2020 18:57:00	0	20.12.2020 18:57:00	318,16
20.12.2020 18:58:00	0	20.12.2020 18:58:00	323,92
20.12.2020 18:59:00	0	20.12.2020 18:59:00	326,39
20.12.2020 19:00:00	0	20.12.2020 19:00:00	328,04
20.12.2020 19:01:00	0	20.12.2020 19:01:00	323,92
20.12.2020 19:02:00	0	20.12.2020 19:02:00	318,99
20.12.2020 19:03:00	0	20.12.2020 19:03:00	310,76
20.12.2020 19:04:00	0	20.12.2020 19:04:00	305,82
20.12.2020 19:05:00	0	20.12.2020 19:05:00	302,53
20.12.2020 19:06:00	0	20.12.2020 19:06:00	302,53
20.12.2020 19:07:00	0	20.12.2020 19:07:00	302,53
20.12.2020 19:08:00	0	20.12.2020 19:08:00	303,35
20.12.2020 19:09:00	0	20.12.2020 19:09:00	303,35
20.12.2020 19:10:00	0	20.12.2020 19:10:00	302,53
20.12.2020 19:11:00	0	20.12.2020 19:11:00	303,35
20.12.2020 19:12:00	0	20.12.2020 19:12:00	307,46
20.12.2020 19:13:00	0	20.12.2020 19:13:00	315,69
20.12.2020 19:14:00	0	20.12.2020 19:14:00	324,75
20.12.2020 19:15:00	0	20.12.2020 19:15:00	328,86
20.12.2020 19:16:00	0	20.12.2020 19:16:00	337,09
20.12.2020 19:17:00	0	20.12.2020 19:17:00	346,14
20.12.2020 19:18:00	0	20.12.2020 19:18:00	354,37
20.12.2020 19:19:00	0	20.12.2020 19:19:00	354,37
20.12.2020 19:20:00	0	20.12.2020 19:20:00	357,66
20.12.2020 19:21:00	0	20.12.2020 19:21:00	354,37
20.12.2020 19:22:00	0	20.12.2020 19:22:00	351,9
20.12.2020 19:23:00	0	20.12.2020 19:23:00	346,96
20.12.2020 19:24:00	0	20.12.2020 19:24:00	342,03
20.12.2020 19:25:00	0	20.12.2020 19:25:00	336,27
20.12.2020 19:26:00	0	20.12.2020 19:26:00	328,86
