X	Temp(°C)	X	Depth(m)
22.12.2020 01:15:00	18,12	22.12.2020 01:15:00	-2,22
22.12.2020 01:16:00	18,12	22.12.2020 01:16:00	-2,22
22.12.2020 01:17:00	18,12	22.12.2020 01:17:00	-2,22
22.12.2020 01:18:00	18,12	22.12.2020 01:18:00	-2,22
22.12.2020 01:19:00	18,12	22.12.2020 01:19:00	-3,07
22.12.2020 01:20:00	18,12	22.12.2020 01:20:00	-3,07
22.12.2020 01:21:00	18,12	22.12.2020 01:21:00	-2,22
22.12.2020 01:22:00	18,12	22.12.2020 01:22:00	-2,22
22.12.2020 01:23:00	18,12	22.12.2020 01:23:00	-2,22
22.12.2020 01:24:00	18,12	22.12.2020 01:24:00	-2,22
22.12.2020 01:25:00	18,12	22.12.2020 01:25:00	-2,22
22.12.2020 01:26:00	18,12	22.12.2020 01:26:00	-2,22
22.12.2020 01:27:00	18,12	22.12.2020 01:27:00	-2,22
22.12.2020 01:28:00	18,12	22.12.2020 01:28:00	-2,22
22.12.2020 01:29:00	18,12	22.12.2020 01:29:00	-2,22
22.12.2020 01:30:00	18,12	22.12.2020 01:30:00	-2,22
22.12.2020 01:31:00	18,15	22.12.2020 01:31:00	-2,22
22.12.2020 01:32:00	18,15	22.12.2020 01:32:00	-2,22
22.12.2020 01:33:00	18,15	22.12.2020 01:33:00	-2,22
22.12.2020 01:34:00	18,15	22.12.2020 01:34:00	-2,22
22.12.2020 01:35:00	18,15	22.12.2020 01:35:00	-2,22
22.12.2020 01:36:00	18,15	22.12.2020 01:36:00	-2,22
22.12.2020 01:37:00	18,15	22.12.2020 01:37:00	-1,36
22.12.2020 01:38:00	18,15	22.12.2020 01:38:00	-3,07
22.12.2020 01:39:00	18,15	22.12.2020 01:39:00	-2,22
22.12.2020 01:40:00	18,15	22.12.2020 01:40:00	-2,22
22.12.2020 01:41:00	18,15	22.12.2020 01:41:00	-2,22
22.12.2020 01:42:00	18,15	22.12.2020 01:42:00	-2,22
22.12.2020 01:43:00	18,15	22.12.2020 01:43:00	-2,22
22.12.2020 01:44:00	18,15	22.12.2020 01:44:00	-2,22
22.12.2020 01:45:00	18,15	22.12.2020 01:45:00	-2,22
22.12.2020 01:46:00	18,15	22.12.2020 01:46:00	-2,22
22.12.2020 01:47:00	18,15	22.12.2020 01:47:00	-2,22
22.12.2020 01:48:00	18,15	22.12.2020 01:48:00	-2,22
22.12.2020 01:49:00	18,15	22.12.2020 01:49:00	-2,22
22.12.2020 01:50:00	18,18	22.12.2020 01:50:00	-2,22
22.12.2020 01:51:00	18,18	22.12.2020 01:51:00	-2,22
22.12.2020 01:52:00	18,21	22.12.2020 01:52:00	-2,22
22.12.2020 01:53:00	18,21	22.12.2020 01:53:00	-2,22
22.12.2020 01:54:00	18,21	22.12.2020 01:54:00	-1,36
22.12.2020 01:55:00	18,21	22.12.2020 01:55:00	-2,22
22.12.2020 01:56:00	18,18	22.12.2020 01:56:00	-2,22
22.12.2020 01:57:00	18,18	22.12.2020 01:57:00	-2,22
22.12.2020 01:58:00	18,18	22.12.2020 01:58:00	-3,07
22.12.2020 01:59:00	18,12	22.12.2020 01:59:00	-3,07
22.12.2020 02:00:00	21,08	22.12.2020 02:00:00	2,06
22.12.2020 02:01:00	21,49	22.12.2020 02:01:00	11,18
22.12.2020 02:02:00	21,57	22.12.2020 02:02:00	20,47
22.12.2020 02:03:00	21,6	22.12.2020 02:03:00	28,12
22.12.2020 02:04:00	21,6	22.12.2020 02:04:00	30,68
22.12.2020 02:05:00	21,6	22.12.2020 02:05:00	33,25
22.12.2020 02:06:00	21,63	22.12.2020 02:06:00	37,48
22.12.2020 02:07:00	21,66	22.12.2020 02:07:00	47,69
22.12.2020 02:08:00	21,69	22.12.2020 02:08:00	58,75
22.12.2020 02:09:00	21,72	22.12.2020 02:09:00	68,96
22.12.2020 02:10:00	21,66	22.12.2020 02:10:00	79,27
22.12.2020 02:11:00	21,43	22.12.2020 02:11:00	88,93
22.12.2020 02:12:00	21,4	22.12.2020 02:12:00	95,79
22.12.2020 02:13:00	21,34	22.12.2020 02:13:00	105,24
22.12.2020 02:14:00	21,22	22.12.2020 02:14:00	109,65
22.12.2020 02:15:00	21,05	22.12.2020 02:15:00	116,68
