X	Temp(°C)	X	Depth(m)
17.12.2020 03:30:00	21,83	17.12.2020 03:30:00	-38,76
17.12.2020 03:30:30	21,78	17.12.2020 03:30:30	-38,76
17.12.2020 03:31:00	21,75	17.12.2020 03:31:00	-37,93
17.12.2020 03:31:30	21,69	17.12.2020 03:31:30	-37,93
17.12.2020 03:32:00	21,66	17.12.2020 03:32:00	-39,58
17.12.2020 03:32:30	21,6	17.12.2020 03:32:30	-39,58
17.12.2020 03:33:00	21,57	17.12.2020 03:33:00	-40,41
17.12.2020 03:33:30	21,51	17.12.2020 03:33:30	-37,93
17.12.2020 03:34:00	21,48	17.12.2020 03:34:00	-40,41
17.12.2020 03:34:30	21,43	17.12.2020 03:34:30	-38,76
17.12.2020 03:35:00	21,4	17.12.2020 03:35:00	-38,76
17.12.2020 03:35:30	21,37	17.12.2020 03:35:30	-37,93
17.12.2020 03:36:00	21,31	17.12.2020 03:36:00	-38,76
17.12.2020 03:36:30	21,28	17.12.2020 03:36:30	-38,76
17.12.2020 03:37:00	21,25	17.12.2020 03:37:00	-37,93
17.12.2020 03:37:30	21,22	17.12.2020 03:37:30	-38,76
17.12.2020 03:38:00	21,19	17.12.2020 03:38:00	-38,76
17.12.2020 03:38:30	21,16	17.12.2020 03:38:30	-38,76
17.12.2020 03:39:00	21,13	17.12.2020 03:39:00	-38,76
17.12.2020 03:39:30	21,1	17.12.2020 03:39:30	-37,93
17.12.2020 03:40:00	21,07	17.12.2020 03:40:00	-39,58
17.12.2020 03:40:30	21,04	17.12.2020 03:40:30	-37,93
17.12.2020 03:41:00	21,02	17.12.2020 03:41:00	-38,76
17.12.2020 03:41:30	20,99	17.12.2020 03:41:30	-38,76
17.12.2020 03:42:00	20,96	17.12.2020 03:42:00	-37,93
17.12.2020 03:42:30	20,93	17.12.2020 03:42:30	-37,93
17.12.2020 03:43:00	20,93	17.12.2020 03:43:00	-37,1
17.12.2020 03:43:30	20,9	17.12.2020 03:43:30	-38,76
17.12.2020 03:44:00	20,87	17.12.2020 03:44:00	-37,93
17.12.2020 03:44:30	20,84	17.12.2020 03:44:30	-37,93
17.12.2020 03:45:00	20,84	17.12.2020 03:45:00	-38,76
17.12.2020 03:45:30	20,81	17.12.2020 03:45:30	-37,93
17.12.2020 03:46:00	20,78	17.12.2020 03:46:00	-38,76
17.12.2020 03:46:30	20,78	17.12.2020 03:46:30	-37,93
17.12.2020 03:47:00	20,75	17.12.2020 03:47:00	-37,93
17.12.2020 03:47:30	20,72	17.12.2020 03:47:30	-38,76
17.12.2020 03:48:00	20,72	17.12.2020 03:48:00	-38,76
17.12.2020 03:48:30	20,69	17.12.2020 03:48:30	-38,76
17.12.2020 03:49:00	20,69	17.12.2020 03:49:00	-38,76
17.12.2020 03:49:30	20,66	17.12.2020 03:49:30	-38,76
17.12.2020 03:50:00	20,63	17.12.2020 03:50:00	-38,76
17.12.2020 03:50:30	20,63	17.12.2020 03:50:30	-37,93
17.12.2020 03:51:00	20,61	17.12.2020 03:51:00	-37,93
17.12.2020 03:51:30	20,61	17.12.2020 03:51:30	-38,76
17.12.2020 03:52:00	20,58	17.12.2020 03:52:00	-38,76
17.12.2020 03:52:30	20,58	17.12.2020 03:52:30	-39,58
17.12.2020 03:53:00	20,55	17.12.2020 03:53:00	-37,93
17.12.2020 03:53:30	20,55	17.12.2020 03:53:30	-38,76
