X	Temp(°C)	X	Depth(m)
17.12.2020 03:30:00	21,77	17.12.2020 03:30:00	35,5
17.12.2020 03:30:30	21,72	17.12.2020 03:30:30	37,06
17.12.2020 03:31:00	21,69	17.12.2020 03:31:00	35,41
17.12.2020 03:31:30	21,63	17.12.2020 03:31:30	36,17
17.12.2020 03:32:00	21,6	17.12.2020 03:32:00	36,14
17.12.2020 03:32:30	21,57	17.12.2020 03:32:30	36,11
17.12.2020 03:33:00	21,51	17.12.2020 03:33:00	36,05
17.12.2020 03:33:30	21,48	17.12.2020 03:33:30	36,02
17.12.2020 03:34:00	21,45	17.12.2020 03:34:00	36
17.12.2020 03:34:30	21,42	17.12.2020 03:34:30	35,97
17.12.2020 03:35:00	21,39	17.12.2020 03:35:00	35,94
17.12.2020 03:35:30	21,34	17.12.2020 03:35:30	36,69
17.12.2020 03:36:00	21,31	17.12.2020 03:36:00	35,86
17.12.2020 03:36:30	21,28	17.12.2020 03:36:30	35,83
17.12.2020 03:37:00	21,25	17.12.2020 03:37:00	36,61
17.12.2020 03:37:30	21,22	17.12.2020 03:37:30	36,58
17.12.2020 03:38:00	21,19	17.12.2020 03:38:00	35,74
17.12.2020 03:38:30	21,16	17.12.2020 03:38:30	35,72
17.12.2020 03:39:00	21,13	17.12.2020 03:39:00	36,5
17.12.2020 03:39:30	21,1	17.12.2020 03:39:30	36,47
17.12.2020 03:40:00	21,07	17.12.2020 03:40:00	35,63
17.12.2020 03:40:30	21,04	17.12.2020 03:40:30	35,6
17.12.2020 03:41:00	21,01	17.12.2020 03:41:00	35,58
17.12.2020 03:41:30	20,98	17.12.2020 03:41:30	36,36
17.12.2020 03:42:00	20,96	17.12.2020 03:42:00	35,52
17.12.2020 03:42:30	20,96	17.12.2020 03:42:30	35,52
17.12.2020 03:43:00	20,93	17.12.2020 03:43:00	35,49
17.12.2020 03:43:30	20,9	17.12.2020 03:43:30	36,27
17.12.2020 03:44:00	20,9	17.12.2020 03:44:00	36,27
17.12.2020 03:44:30	20,87	17.12.2020 03:44:30	35,44
17.12.2020 03:45:00	20,84	17.12.2020 03:45:00	36,22
17.12.2020 03:45:30	20,81	17.12.2020 03:45:30	36,19
17.12.2020 03:46:00	20,81	17.12.2020 03:46:00	36,19
17.12.2020 03:46:30	20,78	17.12.2020 03:46:30	35,35
17.12.2020 03:47:00	20,75	17.12.2020 03:47:00	35,32
17.12.2020 03:47:30	20,75	17.12.2020 03:47:30	35,32
17.12.2020 03:48:00	20,72	17.12.2020 03:48:00	36,11
17.12.2020 03:48:30	20,69	17.12.2020 03:48:30	36,08
17.12.2020 03:49:00	20,69	17.12.2020 03:49:00	36,08
17.12.2020 03:49:30	20,66	17.12.2020 03:49:30	36,05
17.12.2020 03:50:00	20,66	17.12.2020 03:50:00	36,05
17.12.2020 03:50:30	20,63	17.12.2020 03:50:30	36,02
17.12.2020 03:51:00	20,63	17.12.2020 03:51:00	36,02
17.12.2020 03:51:30	20,6	17.12.2020 03:51:30	36
17.12.2020 03:52:00	20,57	17.12.2020 03:52:00	35,97
17.12.2020 03:52:30	20,57	17.12.2020 03:52:30	35,16
